AREACD,P50
E01017126,204000
E01017127,182500
E01017122,187500
E01017125,208500
E01033384,380000
E01017128,132000
E01017133,85000
E01017131,251000
E01017130,245000
E01017129,192500
E01017132,175000
E01017135,300000
E01033380,323000
E01033381,220000
E01017136,220500
E01017138,189975
E01032755,
E01017139,165000
E01017140,143000
E01017142,188750
E01032751,195000
E01032748,285000
E01017137,285000
E01017148,490000
E01017144,283750
E01017150,418500
E01017147,274000
E01017145,352000
E01017146,370000
E01017151,190000
E01017149,250000
E01017152,226000
E01017157,222500
E01017159,197500
E01017158,249950
E01017160,209000
E01017155,192000
E01032750,163500
E01032738,225000
E01017154,199950
E01017156,208000
E01017153,182500
E01017167,127000
E01017168,199500
E01017169,203375
E01017170,210000
E01017165,215000
E01017162,226500
E01017164,215500
E01017166,192500
E01017163,
E01017177,208500
E01017171,165000
E01017173,260000
E01017174,240000
E01017172,205000
E01017175,250000
E01017179,218500
E01017176,240000
E01017178,278000
E01017186,194500
E01017188,185000
E01017180,240000
E01017183,225000
E01017187,188250
E01017184,200000
E01017181,176125
E01017185,211500
E01017182,216000
E01017189,165000
E01017190,189250
E01017192,200000
E01017193,189000
E01017195,150000
E01017196,220000
E01017197,356673
E01017191,149000
E01017194,200000
E01017203,220000
E01017204,232500
E01017198,220000
E01017202,170000
E01017206,240000
E01017205,181500
E01017200,235000
E01017199,246750
E01017201,227500
E01017212,265000
E01017213,205000
E01017207,186500
E01017208,224000
E01017209,234975
E01017210,130000
E01017211,154000
E01017215,268000
E01017214,265000
E01017216,220000
E01017218,212500
E01017217,230000
E01017219,183500
E01017220,238500
E01017222,222500
E01017223,285000
E01017224,270000
E01017225,210000
E01017221,220000
E01017228,215000
E01017235,178500
E01017227,155000
E01032753,330750
E01017226,207500
E01017233,195000
E01017231,215000
E01017232,320000
E01017234,181500
E01017237,203000
E01017239,190000
E01017243,250000
E01017241,175000
E01017242,194000
E01017244,217500
E01017238,182500
E01017245,144500
E01017236,195000
E01017240,
E01017247,310000
E01017249,415000
E01017251,185500
E01017253,215000
E01017248,351000
E01017254,300000
E01017252,400000
E01017246,163000
E01017250,229000
E01017260,228000
E01017261,232250
E01017263,217000
E01017256,237500
E01017257,202125
E01017259,220000
E01017258,222625
E01017255,220000
E01017262,243500
E01017270,188750
E01017272,198500
E01017265,213500
E01017264,190000
E01017271,299998
E01017266,213750
E01017267,251250
E01032756,251500
E01017277,210000
E01017274,216000
E01017276,218500
E01017275,190500
E01017279,218000
E01017280,205000
E01017281,
E01017273,258500
E01017278,209500
E01032745,145000
E01032746,180000
E01017283,185000
E01017282,180000
E01017284,331000
E01017285,330000
E01017286,315000
E01017287,228000
E01017289,225000
E01017288,253500
E01017290,355000
E01017291,277500
E01017293,197500
E01017292,188000
E01017294,180000
E01017295,148000
E01017296,278000
E01017297,248750
E01017299,300000
E01017298,240000
E01017300,240000
E01017301,234250
E01017302,218250
E01017304,214500
E01017303,193500
E01017305,170000
E01017306,175000
E01017307,225000
E01017308,175500
E01017309,153750
E01017310,240000
E01017311,167500
E01033239,280000
E01017312,185000
E01017315,230000
E01017316,340000
E01017317,197750
E01017318,187000
E01017319,185000
E01017320,210000
E01017321,262000
E01017322,142500
E01017323,355000
E01017324,279000
E01017326,119000
E01017325,130000
E01017327,157500
E01017328,132500
E01017329,222500
E01033229,191250
E01033237,182000
E01017331,134000
E01017332,171000
E01017333,180000
E01017334,197475
E01017336,128000
E01017335,153000
E01017337,157750
E01017338,257500
E01017340,143000
E01017339,155750
E01017342,211250
E01017341,177000
E01017343,210000
E01017344,269950
E01017345,137000
E01017346,130000
E01017347,198500
E01017348,166500
E01017349,152000
E01017350,169950
E01017352,301000
E01017351,270500
E01017354,316000
E01017353,255000
E01017356,172000
E01017355,265000
E01017358,235000
E01017357,240000
E01017360,147500
E01017359,230000
E01017361,232000
E01017362,235000
E01017364,210000
E01017363,200000
E01017365,313750
E01017366,174500
E01017368,180000
E01017367,213000
E01017369,235000
E01017370,200500
E01020591,67000
E01020590,113000
E01020593,97500
E01020592,84000
E01020595,162500
E01020594,93500
E01020597,149000
E01020598,147500
E01020596,111000
E01020599,108750
E01020600,165000
E01020601,152500
E01020602,90000
E01020604,176500
E01020605,119750
E01020603,219975
E01020606,63500
E01020607,118500
E01020608,127500
E01020610,105000
E01020609,145000
E01020612,215000
E01020611,242995
E01020613,159000
E01020614,104500
E01020617,153000
E01020615,85000
E01020616,85000
E01020618,107500
E01020619,91000
E01020621,93500
E01020620,90975
E01020622,127500
E01020623,174950
E01020626,57750
E01020624,94995
E01020625,73250
E01020629,245000
E01020627,108000
E01020628,167000
E01020632,110000
E01020631,92250
E01020630,75975
E01020633,89000
E01020635,156000
E01020636,100250
E01020634,145750
E01020637,125000
E01020639,85500
E01020638,69000
E01020640,95000
E01020641,115500
E01020643,87000
E01020642,115000
E01020645,57500
E01020644,163450
E01020646,99500
E01020648,144950
E01020649,80000
E01020647,108475
E01020650,123750
E01020651,117500
E01020652,87500
E01020653,92500
E01020654,145225
E01020655,145250
E01020656,96000
E01020657,198500
E01020660,165475
E01020659,102500
E01020658,90000
E01020661,99000
E01020662,119417
E01020663,125000
E01020664,174950
E01020665,138750
E01020666,167500
E01020668,68500
E01020669,90000
E01020667,95000
E01020670,75000
E01020671,32475
E01020672,47500
E01020673,56250
E01020675,76250
E01020674,80500
E01020676,91775
E01020677,87000
E01020678,74000
E01020680,130000
E01020679,71500
E01020681,90000
E01020683,165000
E01020682,170000
E01020685,284973
E01020684,156000
E01020687,120000
E01020689,67500
E01020688,91475
E01020686,66000
E01020693,126500
E01020690,137500
E01020692,155000
E01020691,125000
E01020694,90000
E01020697,70000
E01020695,97750
E01020696,87500
E01020698,90000
E01020700,58000
E01020701,134500
E01020699,110000
E01020704,445000
E01020702,249950
E01020703,239975
E01020706,81250
E01020705,75500
E01033221,
E01033197,196000
E01020711,118000
E01020710,131500
E01020709,172500
E01020708,152500
E01020713,297998
E01020712,214000
E01020715,149000
E01020714,110000
E01020716,63500
E01020717,170000
E01020718,142000
E01020719,178000
E01020720,133000
E01020721,147000
E01020722,113000
E01020723,165000
E01020724,85500
E01020725,121000
E01020726,136000
E01020727,82600
E01033195,250000
E01033164,163000
E01020729,112995
E01020731,160000
E01020730,99750
E01020732,199950
E01020735,64500
E01020733,64250
E01020734,74975
E01020738,77000
E01020737,85000
E01020739,32000
E01020736,
E01020743,78500
E01020740,108000
E01020741,47000
E01020742,76000
E01020746,134000
E01020744,98000
E01020745,51000
E01020750,157000
E01020749,76000
E01020747,64500
E01020748,65000
E01020753,70000
E01020751,36750
E01020752,29750
E01020754,79502
E01020756,184950
E01033206,68000
E01033205,81000
E01020759,106495
E01020758,49000
E01020757,64000
E01020763,59975
E01020761,78750
E01020762,61000
E01020760,120000
E01020764,25000
E01020765,63000
E01020766,65000
E01020767,29248
E01020768,63000
E01020771,69000
E01020770,
E01020769,93000
E01020772,147000
E01020773,114000
E01033198,69000
E01033161,82750
E01020775,80000
E01020776,108500
E01020779,182500
E01020778,196500
E01020780,75000
E01020777,67500
E01020784,82000
E01020782,115000
E01020783,95000
E01020781,107500
E01020787,81300
E01020786,142000
E01033202,90000
E01020789,119999
E01020791,132500
E01020790,72500
E01020788,58000
E01020795,65250
E01020792,64975
E01020793,58000
E01020794,125000
E01020796,130000
E01020797,58975
E01020799,69000
E01020798,66000
E01033203,39250
E01020802,46998
E01020801,76392
E01020805,56000
E01020803,119995
E01020807,30000
E01020806,110000
E01020808,82300
E01020811,63000
E01020810,71250
E01020812,84500
E01020809,60500
E01020815,147500
E01020813,137750
E01020814,124000
E01020816,57250
E01020820,122495
E01020817,109500
E01020819,70000
E01020818,136250
E01020823,134995
E01020822,120495
E01020821,104000
E01020825,116995
E01020824,87250
E01020826,182000
E01020827,72000
E01020828,195000
E01020830,244225
E01020829,180000
E01020831,87000
E01020833,106500
E01020832,137000
E01020834,82475
E01020836,122000
E01020835,57000
E01020837,115000
E01020839,63665
E01020838,67000
E01020841,49000
E01020840,144950
E01020843,98000
E01020842,178950
E01020845,79750
E01020844,83000
E01020846,180500
E01020847,56000
E01020851,144500
E01020848,137000
E01020850,158995
E01020849,71250
E01020852,165500
E01020853,223000
E01020854,199995
E01020855,252500
E01020863,236000
E01020856,87000
E01020857,255000
E01020859,127250
E01020858,149000
E01020861,55500
E01020860,37500
E01020862,210000
E01020864,127725
E01020866,169000
E01020865,151500
E01020867,150000
E01020869,62000
E01020868,141973
E01020870,185000
E01020872,112500
E01020871,88000
E01020873,41000
E01020874,80000
E01020875,97750
E01020876,74500
E01020879,131750
E01020877,80250
E01020878,103250
E01020881,115000
E01020880,43000
E01020883,152500
E01020882,121500
E01020886,72000
E01020885,119000
E01020884,92000
E01020887,122000
E01020888,91500
E01020889,135000
E01020891,210000
E01020890,120000
E01020893,74875
E01020892,63000
E01020894,75000
E01020897,103000
E01020895,82000
E01020896,89975
E01020898,59000
E01020899,123995
E01020901,54000
E01020900,139950
E01020902,47250
E01020903,83000
E01020904,121500
E01020906,217500
E01020905,160000
E01020908,111000
E01020909,
E01020907,55000
E01033163,175000
E01027356,252500
E01027357,285000
E01027358,137500
E01027359,165000
E01033717,185000
E01033715,130000
E01027361,115000
E01027362,164700
E01027363,90250
E01027364,147000
E01027366,270000
E01027373,269975
E01027365,245975
E01027367,206950
E01027368,215000
E01027369,210500
E01027370,256996
E01027371,144000
E01027372,250000
E01027374,179000
E01027384,247500
E01027375,260000
E01027376,105000
E01027377,157500
E01027378,228750
E01027381,245000
E01027380,188500
E01027379,215000
E01027382,175000
E01027383,171875
E01027386,110000
E01027385,115000
E01027387,121500
E01027388,93050
E01027389,135000
E01027390,140000
E01027392,115896
E01027391,79975
E01027393,82500
E01027395,184950
E01027396,76000
E01027397,110000
E01027394,131000
E01027399,138000
E01027398,96000
E01027401,243975
E01027403,174950
E01027400,174950
E01027402,199000
E01027404,143995
E01027405,168000
E01027407,130000
E01027408,112250
E01027406,164975
E01027409,124000
E01027411,110000
E01027410,173000
E01027412,100000
E01027413,102450
E01027414,120500
E01027416,60000
E01027415,55000
E01027418,128000
E01027417,222500
E01027419,152475
E01027420,164250
E01027421,125000
E01027422,74750
E01027423,78900
E01027424,92498
E01027425,155000
E01027428,120250
E01027427,107500
E01027426,199950
E01027431,76500
E01027429,85000
E01027430,133500
E01027434,125763
E01027433,174250
E01027432,110000
E01027435,147475
E01027436,143500
E01027437,131500
E01027438,117500
E01027439,163750
E01027440,147000
E01027441,159950
E01027442,85000
E01027444,125000
E01027443,132500
E01027445,150000
E01027446,139000
E01027447,380000
E01027448,192750
E01027449,300000
E01027450,252500
E01027451,50000
E01027452,135000
E01027453,184999
E01033718,122625
E01027455,210000
E01027457,389400
E01027456,290000
E01027458,290500
E01027461,127500
E01027460,220000
E01027463,181000
E01027462,104750
E01027465,310000
E01027464,340000
E01027466,180000
E01033714,440000
E01027469,510000
E01027468,476000
E01027471,535000
E01027472,340000
E01027473,251495
E01027475,151000
E01027474,124950
E01027476,135000
E01027478,235500
E01027477,215000
E01027479,215000
E01027504,320000
E01027480,426500
E01027482,205000
E01027481,355000
E01027483,270000
E01027484,190000
E01027487,93875
E01027485,92750
E01027486,106750
E01027488,179995
E01027489,246500
E01027490,189000
E01027491,265000
E01027492,222500
E01027494,302498
E01027493,132000
E01027495,395000
E01027496,187500
E01027497,167000
E01027498,117250
E01027499,222500
E01027500,107500
E01027502,161250
E01027501,132500
E01027503,154475
E01027505,385000
E01027506,
E01027507,293750
E01027509,192500
E01027508,115000
E01027510,225980
E01027511,148798
E01027512,159000
E01027513,360000
E01027516,159500
E01027515,78250
E01027514,140000
E01027517,64000
E01027518,90000
E01027519,79500
E01027520,149000
E01027523,109950
E01027521,221500
E01027522,97000
E01027524,138950
E01027525,151250
E01027526,172250
E01027528,60500
E01027527,58250
E01027529,111500
E01027531,133000
E01027530,88250
E01027532,80000
E01027533,54000
E01027534,74000
E01027535,130000
E01027538,150000
E01027537,75000
E01027536,114000
E01027540,86250
E01027539,52000
E01027541,90250
E01027542,60000
E01027543,89725
E01027544,76500
E01027546,42500
E01027545,40000
E01033716,108500
E01027549,179950
E01027551,72000
E01027550,93000
E01027552,50500
E01027553,85000
E01027554,116750
E01018387,271000
E01018386,304975
E01018389,166000
E01018390,160000
E01018388,155000
E01018392,231250
E01018391,212500
E01018393,345000
E01018394,274495
E01018396,172500
E01018395,181000
E01018398,115000
E01018399,202500
E01018397,200000
E01018400,127250
E01018401,248625
E01018403,256995
E01018402,122500
E01018406,330000
E01018404,220000
E01018405,180000
E01018407,244500
E01018410,227500
E01018408,212000
E01018409,183000
E01018411,444000
E01018412,527500
E01018413,350495
E01018414,379495
E01018415,182500
E01018416,242500
E01018418,201000
E01018417,184500
E01018420,185000
E01018422,150000
E01018423,130500
E01018419,215950
E01018421,145000
E01018424,191000
E01018425,153500
E01018427,202500
E01018426,150000
E01018431,264000
E01018428,145500
E01018429,192000
E01018430,160500
E01018434,195000
E01018432,164000
E01018435,170000
E01018433,200000
E01018437,135000
E01018436,284900
E01018439,252995
E01018438,169850
E01018440,205245
E01018442,329950
E01018441,166750
E01018443,223995
E01018444,308495
E01018448,153000
E01018447,107475
E01018445,100000
E01018446,147250
E01018449,251500
E01018450,290000
E01018454,137500
E01018451,177750
E01033373,131000
E01018452,187500
E01018457,153000
E01018456,295000
E01018455,215000
E01018458,425000
E01018461,120000
E01018460,110000
E01018459,100000
E01018463,92500
E01018462,80000
E01018464,102000
E01018465,275000
E01018467,86000
E01018466,84000
E01018468,176475
E01018471,162250
E01018469,240000
E01018470,252895
E01018472,128500
E01018474,156500
E01018475,176998
E01018473,150000
E01018478,126000
E01018476,123000
E01018477,164995
E01018479,174950
E01018480,224995
E01018481,465000
E01018483,122000
E01018484,117000
E01018485,95500
E01018482,127000
E01018488,160250
E01018486,84475
E01018489,111000
E01018487,86500
E01018491,176000
E01018492,162750
E01018490,240000
E01018495,192286
E01018494,224000
E01018493,162500
E01018496,141000
E01018498,103975
E01018497,82750
E01018499,145000
E01018500,140000
E01018502,170000
E01018501,122250
E01018503,272475
E01018504,182500
E01018505,250000
E01018506,247500
E01018507,250000
E01018508,255000
E01018509,203000
E01018512,126000
E01018511,115000
E01018513,165000
E01018510,209998
E01018514,280000
E01018515,395000
E01018516,224998
E01033378,369500
E01033376,190000
E01018572,440000
E01018573,787500
E01018574,325000
E01018575,352473
E01018576,260000
E01018577,254625
E01018578,292000
E01018579,242975
E01018581,385635
E01018580,489975
E01018583,325000
E01018582,630000
E01018584,430500
E01018587,221000
E01018586,194975
E01018585,299000
E01018590,410000
E01018589,500000
E01018588,430000
E01018591,265000
E01018594,165000
E01018595,220250
E01018593,317500
E01018596,153750
E01018592,280000
E01018597,350000
E01018598,485000
E01018599,375000
E01018600,338000
E01018601,382475
E01018602,295000
E01018604,350000
E01018603,470000
E01018605,396000
E01018606,250000
E01018607,735500
E01018608,682500
E01018609,300000
E01018611,194950
E01018610,319000
E01018612,348140
E01018613,214250
E01018616,277995
E01018617,150000
E01018614,265000
E01018615,200000
E01018618,133250
E01018620,275000
E01018621,233250
E01018619,237475
E01018623,196000
E01018622,133750
E01018624,126000
E01018625,130000
E01018628,272000
E01018627,146000
E01018626,145000
E01018629,150000
E01018631,138475
E01018630,148500
E01018633,300000
E01018634,240000
E01018632,244950
E01018636,223500
E01018635,176000
E01018637,139375
E01018640,170000
E01018639,175000
E01018638,191500
E01018642,320000
E01018641,357500
E01018644,198750
E01018643,469998
E01018647,234500
E01018645,145000
E01018646,171000
E01018648,741000
E01018649,582500
E01018650,284000
E01018653,400000
E01018652,594750
E01018651,387500
E01018654,500000
E01018657,275000
E01018658,300000
E01018659,437000
E01018655,297500
E01018656,302500
E01018660,315000
E01018661,412500
E01018665,255000
E01018664,422000
E01018662,307500
E01018663,359000
E01018668,675000
E01018667,550000
E01018666,838000
E01018669,319975
E01018670,350000
E01033372,180000
E01033375,312995
E01018308,386250
E01018312,131000
E01018313,144500
E01018310,
E01018311,124500
E01018309,135000
E01018314,114000
E01018315,188500
E01018316,114000
E01018317,133000
E01018319,189500
E01032930,174950
E01032931,216000
E01018321,240000
E01018320,240000
E01018322,297500
E01018323,212500
E01018324,280000
E01018325,337500
E01018327,92400
E01018326,215000
E01018330,184000
E01018331,197875
E01018329,169000
E01018328,183500
E01018334,349950
E01018333,344250
E01018332,413500
E01018335,315000
E01018336,130000
E01018337,174000
E01018338,160000
E01018339,329995
E01018341,267000
E01018340,240000
E01018342,192500
E01018343,182750
E01018344,196550
E01018346,315000
E01018347,171750
E01018345,240000
E01018348,267495
E01018349,250000
E01018350,309248
E01018351,94800
E01018353,212500
E01018352,140000
E01018354,218000
E01018356,226500
E01018357,297238
E01018355,162550
E01018358,271250
E01018359,344500
E01018360,389950
E01018361,203000
E01018362,258000
E01018363,230000
E01018365,246500
E01018364,158250
E01018367,332500
E01018366,207495
E01018369,450000
E01018368,217500
E01018370,345000
E01018372,394000
E01018371,389995
E01018373,257000
E01018375,186000
E01018374,262475
E01018377,256750
E01018376,256500
E01018380,220000
E01018379,250000
E01018378,150000
E01018382,205000
E01018381,195000
E01018383,247475
E01018384,261000
E01018385,305000
E01018518,395000
E01018520,149995
E01018519,82000
E01018521,120000
E01018522,115000
E01018525,156995
E01018523,116500
E01018524,99000
E01018526,166000
E01018527,178000
E01018530,350000
E01018528,266745
E01018529,167000
E01018531,178000
E01018532,166000
E01018533,236000
E01018534,134500
E01018535,206500
E01018537,377498
E01018536,308500
E01018540,148000
E01018538,105000
E01018539,112750
E01018543,123250
E01018542,100000
E01018541,114000
E01018545,193500
E01018544,225000
E01018547,170000
E01018548,135000
E01018549,159500
E01018546,130000
E01018553,130000
E01018550,106000
E01018552,114250
E01018551,76000
E01018555,160000
E01018554,164000
E01018557,116500
E01018558,162250
E01018559,185000
E01018556,235000
E01018560,184995
E01018561,260000
E01018562,225000
E01018563,145000
E01018564,93500
E01018565,185000
E01018567,176000
E01018566,176000
E01018568,247500
E01018570,300000
E01018569,367500
E01018571,229000
E01018671,186225
E01018674,125000
E01018672,133975
E01018673,145000
E01018675,268000
E01018678,270000
E01018676,250000
E01018679,214995
E01018677,316050
E01018680,314995
E01018683,261250
E01018682,201500
E01018681,224995
E01018684,387500
E01018685,144750
E01018686,177500
E01018688,250000
E01018689,195000
E01018687,315000
E01018690,328750
E01018694,357998
E01018692,435000
E01018693,496995
E01018691,230000
E01018697,200000
E01018695,175000
E01018696,185500
E01018698,278000
E01018699,175750
E01018700,249000
E01018702,311450
E01018703,167475
E01018701,131500
E01018706,157500
E01018704,199750
E01018705,236500
E01018707,362500
E01018708,305000
E01018711,139475
E01018710,137000
E01018712,139000
E01018709,115000
E01018713,196750
E01018717,114000
E01018714,96750
E01018715,112056
E01018716,114500
E01018719,158000
E01018720,142500
E01018718,179000
E01018721,380000
E01018722,425000
E01018725,360000
E01018723,320000
E01018724,366000
E01018727,300000
E01018726,138500
E01018728,140000
E01018729,139998
E01018731,109000
E01018730,137500
E01018732,104250
E01018735,135000
E01018734,139000
E01018733,146000
E01018737,227498
E01018738,77500
E01018736,121500
E01018739,166995
E01018741,215000
E01018740,137500
E01018742,208995
E01018743,123500
E01018746,170000
E01018744,175000
E01018745,100000
E01018749,140000
E01018747,100000
E01018748,
E01028826,255000
E01028827,227500
E01028829,212500
E01028828,285000
E01028830,157000
E01028831,271250
E01028832,205000
E01028833,313750
E01028835,179000
E01028834,195000
E01028836,193750
E01028837,194000
E01028839,187000
E01028838,190998
E01028841,175750
E01028840,162500
E01028842,385000
E01028843,360000
E01028845,226000
E01028844,
E01028846,355000
E01028847,431250
E01028848,172500
E01028849,142000
E01028850,361250
E01028852,265000
E01028851,369975
E01028853,165000
E01028854,178750
E01028855,232975
E01028856,223498
E01028857,294995
E01028858,457500
E01028859,280000
E01028860,240000
E01028862,350000
E01028861,332500
E01028863,272000
E01028864,156000
E01028866,189998
E01028865,177498
E01028867,166750
E01028868,302750
E01028869,255000
E01028871,287500
E01028870,385000
E01028872,270000
E01028874,197500
E01028873,145000
E01028875,184000
E01028877,175000
E01028876,140750
E01028878,193500
E01028879,142500
E01028880,201000
E01028881,220000
E01028882,277375
E01028883,169000
E01028884,185000
E01028885,205000
E01028886,186000
E01028887,181500
E01028888,295000
E01028889,185750
E01028890,155000
E01028891,117500
E01028892,268465
E01028893,235000
E01028895,167500
E01028894,162000
E01028897,225000
E01028896,177500
E01028898,250000
E01028899,320000
E01033528,156750
E01028902,147500
E01028903,160975
E01028905,122000
E01028904,158950
E01028907,215250
E01028906,116500
E01028908,110500
E01028909,143500
E01028910,160000
E01028912,123000
E01028911,175000
E01028913,255000
E01028914,310000
E01028915,165000
E01028916,248000
E01028917,173500
E01028919,260000
E01028918,290000
E01028920,151000
E01028921,174950
E01028923,315500
E01028924,199950
E01028922,295000
E01028926,156000
E01028925,180000
E01028928,188000
E01028927,235000
E01028929,185000
E01028930,241000
E01028931,165000
E01028932,203725
E01028933,144000
E01028934,160000
E01028936,225000
E01028935,217500
E01028937,175000
E01028938,177500
E01028939,192475
E01028940,250000
E01028941,275995
E01028942,223475
E01028943,137500
E01028945,160000
E01028944,160000
E01028946,216250
E01028949,332500
E01028948,264000
E01028947,230000
E01028950,287500
E01028952,169250
E01028953,275000
E01028951,325000
E01028955,254500
E01028954,240000
E01028958,146000
E01028957,119950
E01028956,170000
E01028959,241500
E01028961,432500
E01028960,410000
E01028963,235000
E01028964,259500
E01028962,130000
E01028965,142000
E01028966,196500
E01028968,194950
E01028967,142000
E01028970,432500
E01028969,330000
E01028971,220000
E01028972,315000
E01028973,170000
E01028974,395000
E01028975,158000
E01028977,249998
E01028976,295000
E01028979,184900
E01028978,299950
E01028980,260000
E01028983,146000
E01028982,149998
E01028981,170000
E01028985,211000
E01028984,160000
E01028986,223950
E01028989,222500
E01028988,188500
E01028987,195000
E01028990,272500
E01028992,259000
E01028991,260000
E01028993,277500
E01028994,250000
E01028995,199500
E01028996,317000
E01033530,266000
E01028997,320000
E01028998,260000
E01028999,210000
E01029000,345000
E01029001,250000
E01029002,178000
E01029003,185000
E01029004,382500
E01029005,275000
E01029006,203750
E01029007,142500
E01033526,165000
E01033527,237975
E01029009,242500
E01029010,180000
E01029012,236486
E01029011,195000
E01029013,228750
E01029014,146000
E01029015,432500
E01029016,322500
E01033529,295000
E01018750,188500
E01018752,186250
E01018751,178000
E01018755,183650
E01018754,215750
E01018756,235000
E01018753,300000
E01018757,293500
E01018758,179500
E01018759,216500
E01018760,285000
E01018762,230000
E01018761,261125
E01018764,297000
E01018763,190000
E01018765,385000
E01018766,357500
E01018767,133475
E01018768,164000
E01018769,176250
E01018772,219950
E01018771,111000
E01018770,157500
E01018776,173000
E01018773,265000
E01018774,165000
E01018775,253475
E01018777,255000
E01018778,260000
E01018779,169000
E01018780,190000
E01018781,260250
E01018783,170000
E01018782,186750
E01018784,284000
E01018785,225000
E01018786,195000
E01018787,210000
E01018788,166000
E01018789,180000
E01018791,241000
E01018790,210000
E01018792,195000
E01018793,165000
E01018794,170000
E01018795,200000
E01018796,195000
E01018798,162000
E01018799,156500
E01018797,145000
E01033294,179750
E01018800,166500
E01018803,302500
E01018805,387500
E01018804,305000
E01018806,257500
E01018807,238500
E01018810,320000
E01018808,248500
E01018809,176000
E01018811,272950
E01018813,280000
E01018814,211000
E01018812,241250
E01018815,218000
E01018817,350000
E01018816,600000
E01018818,322500
E01018820,267875
E01018819,232500
E01018821,235475
E01018822,235000
E01018824,325000
E01018823,209000
E01018826,190500
E01018825,241000
E01018829,273500
E01018830,475000
E01018828,327500
E01018827,420000
E01018832,286250
E01018833,261450
E01018831,235000
E01018836,175000
E01018837,248950
E01018835,195000
E01018834,238500
E01018839,283564
E01018838,228000
E01018840,245000
E01018841,250000
E01018842,277500
E01018844,310000
E01018843,427500
E01018845,257450
E01018847,222500
E01018848,211000
E01018846,275000
E01018849,448750
E01018850,361000
E01018851,350975
E01018852,320000
E01018854,257500
E01018853,228000
E01018855,247500
E01018856,228000
E01018857,171500
E01018858,247500
E01018859,250000
E01018860,202500
E01018861,285000
E01018864,297000
E01018862,389000
E01018863,195000
E01018867,168975
E01018866,178250
E01018868,145250
E01018865,163975
E01018869,162000
E01018870,127000
E01018871,142600
E01018873,159000
E01018872,170000
E01018874,200000
E01018876,258500
E01018877,222500
E01018878,134000
E01018875,136000
E01018880,319000
E01018879,445000
E01018881,258750
E01018883,220000
E01018885,179500
E01018882,237000
E01018884,216950
E01018886,185000
E01018888,164500
E01018887,160000
E01018893,210000
E01018889,204000
E01018891,143500
E01018890,198975
E01018892,230000
E01018897,200000
E01018894,162000
E01018896,223250
E01018898,169000
E01018895,187000
E01018900,282498
E01018899,262000
E01018901,258750
E01018903,266250
E01018902,381875
E01018904,225000
E01018906,258725
E01018907,215000
E01018905,245000
E01018908,185000
E01018911,136750
E01018909,155000
E01018910,179950
E01018913,132000
E01018912,185000
E01018915,180000
E01018914,157500
E01018919,180000
E01018916,202500
E01018917,242475
E01018918,223000
E01018920,339250
E01018921,212250
E01018922,265000
E01018924,252500
E01018923,340000
E01018925,265000
E01018926,307500
E01018927,176500
E01018929,185000
E01018930,137250
E01018931,171250
E01018928,147000
E01018933,146500
E01018932,124950
E01018935,164975
E01018934,240000
E01018938,255000
E01018937,240000
E01018936,250000
E01033291,225000
E01033292,167500
E01018940,270000
E01018941,175000
E01018942,270000
E01018943,232000
E01018944,230000
E01018945,318000
E01018946,211250
E01018947,184000
E01018948,170000
E01018949,149750
E01018950,115000
E01018951,350000
E01018953,282500
E01018952,170000
E01018957,360000
E01018958,377500
E01018956,350000
E01018954,189750
E01018955,337000
E01018960,249995
E01018959,250000
E01018961,272500
E01018962,340000
E01033289,632500
E01018965,266250
E01018966,207500
E01018967,255000
E01018968,257500
E01018969,302500
E01018970,247000
E01018973,245000
E01018972,167000
E01018971,235000
E01018974,260000
E01018975,232000
E01018976,185250
E01018977,184000
E01018980,245000
E01018978,220000
E01018979,219950
E01018982,178250
E01018981,230000
E01018983,285000
E01018984,236248
E01018985,259000
E01018986,295000
E01018988,220000
E01018987,240000
E01018989,314825
E01018990,274000
E01018991,227000
E01018993,197000
E01018992,295000
E01018995,172250
E01018994,185000
E01018999,168975
E01018996,190000
E01018997,160500
E01018998,163475
E01019001,229100
E01019000,285000
E01019004,185000
E01019003,253000
E01019002,312100
E01019006,345000
E01019005,304000
E01019007,225000
E01019008,256000
E01019009,310000
E01019010,275000
E01019012,351092
E01019011,385000
E01019014,215000
E01019013,225250
E01019015,211000
E01019016,192000
E01019017,299995
E01019018,285000
E01019019,265000
E01019020,151550
E01019023,167500
E01019021,230000
E01019022,215000
E01019025,289750
E01019027,330000
E01019024,215000
E01019026,227750
E01019031,269950
E01019028,210000
E01019030,255000
E01019029,173500
E01019032,159750
E01019034,147500
E01019033,144100
E01019037,250000
E01019036,225000
E01019035,223750
E01019040,315500
E01019038,185000
E01019039,330000
E01019043,230000
E01019041,117500
E01019044,193500
E01019042,175000
E01019045,174500
E01019046,167500
E01019047,204000
E01019050,227500
E01019049,258000
E01019051,202500
E01019048,288000
E01019052,166500
E01019053,165250
E01019055,149000
E01019054,169950
E01019058,173350
E01019056,126000
E01019059,168000
E01019057,146000
E01019060,395000
E01019061,194000
E01019062,175000
E01019064,179000
E01019063,166000
E01019065,180416
E01019067,325000
E01019066,224350
E01019068,250000
E01019073,225000
E01019069,134000
E01019070,133650
E01019071,175000
E01019072,180000
E01019075,194975
E01019076,146000
E01019074,153000
E01019077,322500
E01031841,383750
E01031842,360000
E01031843,450000
E01031844,370000
E01031846,287000
E01031845,310248
E01031847,422500
E01031848,360000
E01031849,390000
E01031852,255000
E01031850,220500
E01031851,202000
E01031854,182500
E01031853,173288
