AREACD,P50
E01012354,65000
E01012353,59000
E01012356,109475
E01012359,
E01012358,141250
E01012357,75000
E01012360,250000
E01012361,290000
E01012362,58500
E01012363,97500
E01012365,154000
E01012364,85000
E01012366,163500
E01033481,174475
E01012367,77125
E01012369,180000
E01012368,196995
E01012370,78500
E01012372,160000
E01012371,156000
E01012373,144975
E01012376,231000
E01012374,189000
E01012375,275000
E01012377,127000
E01012378,132500
E01012379,109500
E01012380,92000
E01012383,96000
E01012384,106000
E01012381,125000
E01012382,69950
E01012385,286950
E01012386,224875
E01012387,236498
E01012389,165000
E01012391,111500
E01012390,110000
E01012388,101000
E01012394,147498
E01012395,201000
E01012393,255000
E01012392,217000
E01012399,89000
E01012396,83500
E01012397,97500
E01012400,125000
E01012398,149000
E01012401,196500
E01012403,85000
E01012405,121000
E01012404,110051
E01012402,120000
E01012407,65000
E01012408,
E01012406,113000
E01012409,85000
E01012414,133500
E01012412,92800
E01012410,113750
E01012411,148750
E01012413,101000
E01012416,149750
E01012418,186400
E01012417,88750
E01012415,152250
E01012423,130000
E01012421,210000
E01012422,87250
E01012420,85000
E01012419,
E01012425,120000
E01012427,148975
E01012424,90000
E01012426,199950
E01012428,100000
E01012431,82613
E01012429,95000
E01012430,74000
E01012435,270000
E01012434,157000
E01012432,100000
E01012433,90500
E01012439,89000
E01012440,122000
E01012436,85000
E01012437,76000
E01012438,88000
E01012441,70000
E01012442,84000
E01012443,160000
E01012444,
E01012445,
E01012446,445000
E01012452,482500
E01012448,357500
E01012449,380000
E01012447,561250
E01012451,205000
E01012450,235000
E01033300,101750
E01012458,135000
E01033302,134000
E01012457,88500
E01012453,110000
E01012455,95000
E01012454,123000
E01012461,238725
E01012462,128750
E01012463,247500
E01012466,116000
E01012464,132500
E01012465,150000
E01012460,126000
E01012459,96475
E01012469,102250
E01012467,149900
E01012470,125000
E01012468,250000
E01012472,300000
E01012473,325000
E01012474,209000
E01012477,227750
E01012471,249475
E01012475,200000
E01012476,185000
E01012478,145000
E01012481,117000
E01012482,102500
E01012483,98500
E01012480,105000
E01033303,88000
E01012479,101000
E01033299,94975
E01012490,234000
E01012487,254600
E01012488,352500
E01012489,374500
E01012485,242500
E01012486,228750
E01012492,190000
E01012493,165000
E01012491,163000
E01012494,232498
E01012499,157000
E01012495,167750
E01012501,142000
E01012496,184000
E01012497,145000
E01012500,184975
E01012498,138000
E01012503,357000
E01012502,319651
E01012508,117500
E01012507,117000
E01012504,129000
E01012505,146500
E01012506,108000
E01012510,126000
E01012511,106100
E01012509,180000
E01012512,174500
E01012514,352000
E01012518,315000
E01012515,260000
E01012519,245000
E01012516,403500
E01012517,281500
E01012513,371000
E01012526,95000
E01012520,119000
E01012524,147500
E01012523,112500
E01012525,113250
E01012522,105000
E01012521,130000
E01012530,220000
E01012527,150500
E01012528,197000
E01012529,150000
E01012531,160000
E01012532,197250
E01012534,95500
E01012537,107500
E01012539,112500
E01012535,106000
E01012533,77500
E01012536,118500
E01012538,180000
E01012542,155000
E01012541,165000
E01012544,124250
E01012540,182000
E01012545,139000
E01012546,131000
E01012543,152500
E01012547,159950
E01012549,185000
E01012550,188500
E01012548,177500
E01012554,213000
E01012553,230000
E01012555,169975
E01012551,217500
E01012556,173500
E01012552,149500
E01012559,306000
E01012557,205000
E01012560,330000
E01012558,254000
E01012561,152000
E01012564,168250
E01012563,239500
E01012562,254995
E01012566,217500
E01012570,172500
E01012569,200000
E01012567,263495
E01012565,159498
E01012568,195000
E01012575,
E01012571,
E01012574,85000
E01012576,65000
E01012572,
E01012573,74000
E01012577,83125
E01012578,
E01012579,99500
E01012580,78000
E01012582,220000
E01012584,197500
E01012581,163000
E01012583,170000
E01012585,103750
E01012587,120000
E01012586,104000
E01012588,85000
E01012589,71000
E01012590,86000
E01012591,135000
E01012592,142250
E01012594,90000
E01012595,75000
E01012596,80000
E01012593,102000
E01012597,152500
E01012599,189950
E01012598,173000
E01012604,204995
E01012603,
E01012600,77750
E01012601,
E01012602,128000
E01012605,75000
E01012606,96000
E01012607,125000
E01012608,87975
E01012610,172475
E01012611,157000
E01012612,145750
E01012613,206950
E01012609,188995
E01012617,85000
E01012614,169950
E01012615,90500
E01012616,132000
E01012618,106225
E01012619,78750
E01012621,79500
E01012620,109000
E01012622,60000
E01012623,85000
E01012624,75000
E01012625,69000
E01032485,260050
E01032486,215500
E01012628,275000
E01012629,89000
E01012630,90051
E01012631,124000
E01012632,88000
E01012635,136500
E01012633,109975
E01012634,110000
E01012636,208995
E01012640,85750
E01012641,72500
E01012637,
E01012638,87500
E01012639,77000
E01012644,90500
E01012643,80000
E01012642,87000
E01012645,112500
E01012646,64000
E01012649,80000
E01012647,108500
E01012648,65000
E01012650,60500
E01012652,185000
E01012651,103000
E01012653,87250
E01012654,105500
E01012657,85000
E01012655,
E01012658,84000
E01012656,
E01012659,123000
E01012661,91500
E01012660,165000
E01012664,125000
E01012663,114000
E01012665,119000
E01012662,118000
E01012666,131750
E01012667,131000
E01012668,127750
E01012669,125000
E01012670,66000
E01012673,
E01012672,85000
E01012674,125000
E01012671,59500
E01012676,104950
E01012679,65000
E01012675,73000
E01012677,147000
E01012678,
E01012681,79500
E01012684,65000
E01012683,84000
E01012680,76250
E01012682,66000
E01012689,96000
E01012687,80000
E01012688,100000
E01012685,84000
E01012686,86500
E01012690,116000
E01012693,104500
E01012692,122000
E01012691,105000
E01012694,100975
E01012696,95250
E01012698,77000
E01012695,85000
E01012697,106500
E01012701,127000
E01012699,118500
E01012700,123500
E01012702,100000
E01012704,138750
E01012706,111000
E01012703,125500
E01012705,110000
E01012709,80000
E01012710,188500
E01012711,99000
E01012707,80000
E01012708,98250
E01012714,117500
E01012715,110000
E01012712,129750
E01012713,113500
E01012717,168500
E01012718,140000
E01012719,134250
E01012716,118750
E01012721,
E01012720,82000
E01012722,167750
E01012723,116500
E01012724,84000
E01012728,112500
E01012725,115000
E01012726,137500
E01012727,170250
E01012730,217500
E01012732,140000
E01012729,124000
E01012731,93000
E01012735,138000
E01012737,63500
E01012734,112500
E01012736,69500
E01012733,80000
E01012741,107500
E01012742,102500
E01012738,67500
E01012739,89950
E01012740,107500
E01012746,95000
E01012743,81000
E01012744,78000
E01012745,99975
E01012750,120000
E01012748,87000
E01012749,134000
E01012747,177000
E01012755,162475
E01012752,120000
E01012751,
E01012754,114250
E01012753,127500
E01012763,155000
E01012761,77000
E01012760,92500
E01012756,132000
E01012759,85500
E01012757,109500
E01012762,157500
E01012758,195500
E01012764,138000
E01012768,104750
E01012769,120000
E01012765,110000
E01012766,140000
E01012767,125000
E01012771,126000
E01012773,99973
E01012775,111500
E01012774,103000
E01012776,94975
E01012777,138000
E01012772,123000
E01012770,196000
E01012780,73250
E01012781,60000
E01012783,68500
E01012782,
E01012784,125000
E01012778,78000
E01012779,
E01012787,
E01012785,
E01012788,74000
E01012789,85500
E01012790,82750
E01012786,81500
E01012795,115000
E01012792,140000
E01012794,110000
E01012793,143750
E01012791,149950
E01012798,95500
E01012797,100000
E01012801,99500
E01012800,98000
E01012799,98500
E01012803,93250
E01012802,108000
E01012796,124000
E01012805,78750
E01012811,125000
E01012810,147950
E01012807,141325
E01012806,71950
E01012808,80000
E01012809,64250
E01012804,117500
E01012819,98500
E01012820,113000
E01012815,112750
E01012814,137250
E01012813,148750
E01012812,158605
E01012817,88000
E01012818,130000
E01012816,108250
E01012822,123000
E01012828,115000
E01012823,85250
E01012825,164500
E01012827,177995
E01012821,160000
E01012824,157000
E01012826,82500
E01012832,143000
E01033108,174973
E01012830,107000
E01012829,125000
E01012834,77250
E01012835,133125
E01012839,145500
E01012840,69000
E01012833,80000
E01012836,79250
E01012837,80748
E01012838,80000
E01012844,66000
E01012843,76000
E01012842,73500
E01012846,77500
E01012845,73500
E01012848,116950
E01012847,67500
E01012849,86500
E01012841,
E01012856,
E01012850,89000
E01012851,63250
E01012855,82000
E01033104,73490
E01012854,110000
E01033109,97000
E01012857,82000
E01012852,82500
E01012862,74500
E01012858,126955
